target_id	species	target_type	structure_source	structure_path	center_x	center_y	center_z	size_x	size_y	size_z	notes
DEMO_TARGET_001	human	protein	placeholder	03_data_raw/targets/DEMO_TARGET_001.pdb							Placeholder target for scaffold validation
DEMO_TARGET_002	human	protein	placeholder	03_data_raw/targets/DEMO_TARGET_001.pdb							Alias target handle for heterogeneous multi-case state validation
BRD4_BD1_4QZS	human	protein	experimental_structure	03_data_raw/targets/BRD4_BD1_4QZS.pdb	10.367	-6.491	-2.411	16.0	16.0	16.0	BRD4 bromodomain 1 protein-only structure derived from PDB 4QZS with manual co-crystal-ligand-centered box for minimal literature-backed benchmarking
BRD4_BD1_4C66	human	protein	experimental_structure	03_data_raw/targets/BRD4_BD1_4C66.pdb	25.287	50.878	-1.347	16.0	16.0	16.0	BRD4 bromodomain 1 protein-only structure derived from PDB 4C66 with manual I-BET762 co-crystal-ligand-centered box for minimal literature-backed benchmarking
BRD2_BD2_3ONI	human	protein	experimental_structure	03_data_raw/targets/BRD2_BD2_3ONI.pdb	44.158	41.585	-9.760	16.0	16.0	16.0	BRD2 bromodomain 2 protein-only structure derived from PDB 3ONI with manual JQ1 co-crystal-ligand-centered box for bounded non-BRD4 enhancement-line validation
BRDT_BD1_4FLP	human	protein	experimental_structure	03_data_raw/targets/BRDT_BD1_4FLP.pdb	8.869	-1.325	-27.671	16.0	16.0	16.0	BRDT bromodomain 1 protein-only structure derived from PDB 4FLP with manual chain-A JQ1 co-crystal-ligand-centered box for a second bounded non-BRD4 enhancement-line validation surface
PXR_LBD_8F5Y	human	protein	experimental_structure	03_data_raw/targets/PXR_LBD_8F5Y.pdb	-29.818	10.958	-21.040	18.0	18.0	18.0	PXR ligand-binding-domain protein-only chain-A structure derived from PDB 8F5Y with manual JQ1 co-crystal-ligand-centered box for bounded new-target-family enhancement-line validation
BRD3_BD1_3S91	human	protein	experimental_structure	03_data_raw/targets/BRD3_BD1_3S91.pdb	44.402	5.473	13.815	16.0	16.0	16.0	BRD3 bromodomain 1 protein-only chain-A structure derived from PDB 3S91 with manual JQ1 co-crystal-ligand-centered box for another bounded enhancement-line validation surface
BRD3_BD2_3S92	human	protein	experimental_structure	03_data_raw/targets/BRD3_BD2_3S92.pdb	31.081	24.646	17.154	16.0	16.0	16.0	BRD3 bromodomain 2 protein-only chain-A structure derived from PDB 3S92 with manual JQ1 co-crystal-ligand-centered box for another bounded enhancement-line validation surface
BRD2_BD1_2YEK	human	protein	experimental_structure	03_data_raw/targets/BRD2_BD1_2YEK.pdb	22.065	7.381	3.255	16.0	16.0	16.0	BRD2 bromodomain 1 protein-only chain-A structure derived from PDB 2YEK with manual I-BET762 co-crystal-ligand-centered box for a bounded non-BRD4 I-BET762-focused enhancement-line validation surface
BRD3_BD1_24OS	human	protein	experimental_structure	03_data_raw/targets/BRD3_BD1_24OS.pdb	6.085	13.808	29.795	16.0	16.0	16.0	BRD3 bromodomain 1 protein-only chain-A structure derived from PDB 24OS with manual I-BET762 co-crystal-ligand-centered box for a bounded non-BRD4 I-BET762-focused enhancement-line validation surface
